None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
661,902,748,278,65,,25,0,0,0,980,1366,470,105,307,1959,1893,1497,9,78,0,20,2150,12,98,20198,190,3852,36,31,179,132,115,20
1293,3057,5740,3909,1966,,218,88,0,0,5257,10470,2349,141,745,12141,11101,2462,82,491,0,3021,17129,1908,263,36613,518,23242,400,189,1311,1199,1468,36
67,421,350,173,67,,0,0,0,0,321,755,127,6,86,892,840,178,0,0,0,81,1450,20,13,40000,20,1732,35,32,120,74,99,3
1848,2960,3470,1127,609,,65,0,0,0,3446,5479,1662,285,990,7871,6750,4872,49,135,0,795,8694,540,121,21384,677,14621,239,208,926,617,814,314
381,558,497,107,34,,0,0,0,0,356,928,327,85,88,1300,1097,362,0,4,0,92,1833,11,108,25032,104,2397,12,48,144,120,95,0
603,420,343,77,14,,365,0,0,0,750,768,260,39,94,1295,1232,377,10,670,0,143,1215,0,112,19146,24,2527,55,55,150,125,112,36
5848,15016,14406,11761,8584,,2181,290,8,0,43511,26628,7775,1562,3732,51778,47103,43559,272,2401,73,3067,48716,947,1084,20264,3519,98881,1301,981,3777,4220,3467,514
1140,1059,1523,467,308,,0,0,0,52,958,2890,698,96,582,3452,3123,533,10,35,0,848,4923,174,62,24573,108,6575,38,0,372,428,333,17
99,161,181,61,38,,11,0,0,0,108,379,74,13,49,384,318,0,0,11,0,13,678,0,0,30000,12,702,10,10,26,20,27,2
231,414,276,70,67,,0,0,0,0,258,521,162,16,216,744,629,39,33,0,0,15,1261,0,25,17330,49,1373,3,11,58,74,63,10
139,315,278,45,47,,0,0,0,0,212,525,149,12,106,669,688,4,41,0,0,11,1275,0,26,24234,25,1357,11,29,83,79,81,5
682,1221,1137,274,66,,0,0,0,0,1071,1777,685,28,377,2520,2439,1279,63,0,0,194,3423,194,0,23368,178,4959,15,65,233,285,369,64
160,415,219,80,72,,12,0,0,0,244,450,247,16,86,744,561,78,14,12,0,9,1192,0,0,22424,68,1305,22,5,83,42,38,5
2490,5027,5270,3686,1470,,182,47,0,0,6342,9755,2586,472,1855,13024,12152,4283,239,323,24,1872,17875,581,698,24183,1173,25176,213,261,1196,1090,1232,13
41,260,313,202,202,,4,0,0,0,180,719,162,9,53,576,653,0,0,4,0,35,1167,7,23,35676,26,1229,0,12,43,35,32,4
193,305,222,38,37,,3,0,0,0,162,513,133,23,103,575,558,0,33,0,0,130,993,89,7,20409,25,1133,17,7,66,57,62,3
510,1646,2985,5284,5032,,562,184,0,0,8036,9764,1806,250,763,13435,12160,3289,27,688,0,1040,20106,401,465,39891,439,25595,513,213,1494,1059,1532,75
1019,2406,2261,1910,992,,80,94,0,0,3574,4136,1477,308,564,6780,5694,4913,10,109,0,1148,5861,900,202,30394,384,12474,67,80,908,812,818,74
829,1681,1279,309,94,,27,0,34,0,2136,1415,775,199,447,3226,2986,3363,80,50,42,612,1860,683,40,17607,257,6212,89,120,420,335,203,109
3553,7471,7692,4386,2819,,557,44,0,0,11675,13901,4542,650,3014,21146,18958,7827,188,362,61,1524,29531,102,739,22283,1027,40104,347,420,2014,1339,1262,206
975,1731,1548,364,227,,0,0,0,0,1509,2963,707,51,419,3351,3313,603,7,0,0,176,5771,22,231,22107,195,6664,88,39,323,159,290,23
930,1580,1087,569,234,,0,0,0,0,1950,1796,793,163,624,3302,3016,3780,0,0,0,165,2248,39,125,20730,204,6318,68,24,265,255,288,88
996,1962,1698,632,400,,39,0,0,0,1879,3205,915,60,533,4486,3940,2090,55,49,0,319,5560,255,400,22751,190,8426,96,78,466,524,468,26
