State,City,Unemployment Count
Alabama,Town Creek,35
Alabama,Leeds,315
Alabama,Lipscomb,58
Alabama,Sumiton,77
Alabama,West Jefferson,11
Alabama,Needham,3
Alabama,Silas,10
Alabama,Jacksonville,801
Alabama,Weaver,173
Alabama,Gordon,19
Alabama,Faunsdale,10
Alabama,Ariton,29
Alabama,Clayhatchee,13
Alabama,Level Plains,81
Alabama,Newbern,15
Alabama,Phil Campbell,35
Alabama,Blue Ridge,6
Alabama,Millbrook,291
Alabama,Prattville,849
Alabama,Wetumpka,287
Alabama,Rockford,11
Alabama,Concord,53
Alabama,Adamsville,214
Alabama,Parrish,83
Alabama,Flomaton,172
Alabama,Five Points,8
Alabama,Oxford,725
Alabama,Cowarts,56
Alabama,Prichard,985
Alabama,Satsuma,150
Alabama,Maytown,10
Alabama,Morris,30
Alabama,Pleasant Grove,352
Alabama,Glencoe,73
Alabama,Hokes Bluff,44
Alabama,Gordonville,1
Alabama,Lockhart,14
Alabama,Autaugaville,27
Alabama,Arab,197
Alabama,Pell City,470
Alabama,Rogersville,55
Alabama,Sheffield,187
Alabama,Brilliant,25
Alabama,Brewton,186
Alabama,Harvest,57
Alabama,Eclectic,11
Alabama,Owens Cross Roads,62
Alabama,Brookwood,42
Alabama,Walnut Grove,14
Alabama,Dothan,2406
Alabama,Kinsey,50
Alabama,Theodore,141
Alabama,Eldridge,4
Alabama,Jasper,397
Alabama,Kansas,1
Alabama,Fultondale,134
Alabama,Foley,505
Alabama,Underwood-Petersville,144
Alabama,Guin,59
Alabama,Daphne,589
Alabama,Silverhill,4
Alabama,Leesburg,55
Alabama,Rainsville,132
Alabama,Piedmont,156
Alabama,Huntsville,6063
Alabama,Castleberry,10
Alabama,Abbeville,55
Alabama,Greenville,268
Alabama,Evergreen,180
Alabama,East Brewton,119
Alabama,Hurtsboro,19
Alabama,Haleburg,8
Alabama,Newville,11
Alabama,Louisville,3
Alabama,Orrville,0
Alabama,Cuba,12
Alabama,Gainesville,0
Alabama,Libertyville,0
Alabama,Alabaster,680
Alabama,Harpersville,61
Alabama,Gantt,0
Alabama,Glen Allen,31
Alabama,Franklin,7
Alabama,Blue Springs,0
Alabama,Hobson City,69
Alabama,Cottonwood,66
Alabama,Chickasaw,127
Alabama,Saraland,464
Alabama,Cordova,150
Alabama,New Market,83
Alabama,Repton,11
Alabama,New Hope,81
Alabama,Gurley,25
Alabama,Auburn,1484
Alabama,Opelika,891
Alabama,Leighton,47
Alabama,Fort Rucker,152
Alabama,Midland City,99
Alabama,Black,2
Alabama,Geneva,204
Alabama,Jacksons' Gap,36
Alabama,Maplesville,52
Alabama,Odenville,51
