State,City,Median Income
Alabama,Samson,16600
Alabama,Sand Rock,31818
Alabama,Sanford,17813
Alabama,Saraland,29219
Alabama,Sardis City,29875
Alabama,St. Stephens,16973
Alabama,Rock Creek,35167
Alabama,Robertsdale,25765
Alabama,Roanoke,23578
Alabama,Ranburne,27333
Alabama,Ray,32615
Alabama,Red Bay,20696
Alabama,Redland,45068
Alabama,Red Level,24643
Alabama,Redstone Arsenal,31148
Alabama,Reece City,22153
Alabama,Reeltown,31125
Alabama,Reform,17959
Alabama,Rehobeth,28885
Alabama,Repton,20987
Alabama,Ridgeville,14583
Alabama,River Falls,20417
Alabama,Riverside,31065
Alabama,Riverview,21875
Alabama,Satsuma,26083
Alabama,Lake View,35826
Alabama,Scottsboro,23754
Alabama,Selma,16436
Alabama,Spanish Fort,41056
Alabama,Spring Garden,32763
Alabama,Springville,34258
Alabama,Spruce Pine,40266
Alabama,Standing Rock,29545
Alabama,Stapleton,31909
Alabama,South Vinemont,21464
Alabama,Steele,20409
Alabama,Stevenson,20195
Alabama,Stewartville,17135
Alabama,Stockton,40101
Alabama,Sulligent,17832
Alabama,Sumiton,23316
Alabama,Summerdale,23047
Alabama,Sterrett,18696
Alabama,Southside,33100
Alabama,Somerville,24375
Alabama,Snead,30000
Alabama,Selmont-West Selmont,16085
Alabama,Semmes,24807
Alabama,Sheffield,21838
Alabama,Shelby,17500
Alabama,Shiloh,25000
Alabama,Shoal Creek,51802
Alabama,Shorter,20409
Alabama,Silas,14625
Alabama,Silverhill,30000
Alabama,Sims Chapel,-666666666
Alabama,Sipsey,18750
Alabama,Skyline,21750
Alabama,Slocomb,20298
Alabama,Smiths Station,27125
Alabama,Smoke Rise,32452
Alabama,Section,21218
Alabama,Lakeview,21563
Alabama,New Brockton,21102
Alabama,Ladonia,18399
Alabama,Childersburg,23368
Alabama,Choccolocco,33943
Alabama,Chunchula,-666666666
Alabama,Citronelle,24930
Alabama,Clanton,22700
Alabama,Clay,36321
Alabama,Chickasaw,20074
Alabama,Clayhatchee,26719
Alabama,Cleveland,25394
Alabama,Clio,12717
Alabama,Coaling,29412
Alabama,Coats Bend,20837
Alabama,Coffee Springs,17019
Alabama,Coffeeville,15833
Alabama,Clayton,9803
Alabama,Coker,31587
Alabama,Cherokee,16786
Alabama,Chatom,24839
Alabama,Camden,19771
Alabama,Camp Hill,12351
Alabama,Carbon Hill,16726
Alabama,Cardiff,25938
Alabama,Carlisle-Rockledge,21060
Alabama,Carlton,20852
Alabama,Chelsea,45819
Alabama,Carolina,32778
Alabama,Castleberry,14597
Alabama,Catherine,-666666666
Alabama,Cedar Bluff,19083
Alabama,Center Point,25444
Alabama,Centre,17544
Alabama,Centreville,23370
Alabama,Carrollton,14483
Alabama,Collinsville,18625
Alabama,Colony,19500
Alabama,Columbia,21481
Alabama,Daviston,19135
Alabama,Dayton,-666666666
Alabama,Deatsville,40690
Alabama,Decatur,24875
Alabama,Deer Park,16512
Alabama,Delta,67731
Alabama,Dauphin Island,35676
Alabama,Demopolis,23306
Alabama,Dodge City,24167
Alabama,Dora,19484
Alabama,Dothan,24573
Alabama,Double Springs,12625
Alabama,Douglas,21574
