State,City,Female,Male
Alabama,Mooresville,54.0,35.0
Alabama,Tillmans Corner,8883.0,8931.0
Alabama,Carbon Hill,735.0,667.0
Alabama,Tuscaloosa,51778.0,47103.0
Alabama,Oneonta,3452.0,3123.0
Alabama,Susan Moore,355.0,345.0
Alabama,Fulton,102.0,106.0
Alabama,Gaylesville,104.0,87.0
Alabama,Glenwood,95.0,126.0
Alabama,Marion,1799.0,1560.0
Alabama,Langston,106.0,110.0
Alabama,Hazel Green,1820.0,1632.0
Alabama,Madison,24221.0,24054.0
Alabama,Edwardsville,102.0,95.0
Alabama,Lake View,1691.0,1337.0
Alabama,Snead,384.0,318.0
Alabama,Robertsdale,3294.0,3227.0
Alabama,Garden City,260.0,293.0
Alabama,Georgiana,1035.0,879.0
Alabama,Ider,339.0,305.0
Alabama,Pine Ridge,124.0,163.0
Alabama,Sand Rock,224.0,247.0
Alabama,Valley Head,373.0,287.0
Alabama,Waterloo,100.0,95.0
Alabama,Eva,249.0,311.0
Alabama,Falkville,744.0,629.0
Alabama,Priceville,1710.0,1608.0
Alabama,Fyffe,669.0,688.0
Alabama,Childersburg,2520.0,2439.0
Alabama,Avon,277.0,186.0
Alabama,West End-Cobb Town,1819.0,1527.0
Alabama,Kinston,326.0,382.0
Alabama,Rehobeth,1012.0,850.0
Alabama,Ardmore,744.0,561.0
Alabama,Athens,13024.0,12152.0
Alabama,Citronelle,2352.0,1559.0
Alabama,Dauphin Island,576.0,653.0
Alabama,Attalla,3027.0,2820.0
Alabama,Fort Payne,7104.0,6902.0
Alabama,Mentone,178.0,127.0
Alabama,Steele,575.0,558.0
Alabama,Homewood,13435.0,12160.0
Alabama,Irondale,6780.0,5694.0
Alabama,Wilsonville,1074.0,1172.0
Alabama,Sardis City,891.0,872.0
Alabama,White Hall,395.0,391.0
Alabama,Mulga,403.0,400.0
Alabama,Monroeville,3286.0,2725.0
Alabama,Minor,498.0,576.0
Alabama,Tarrant,3226.0,2986.0
Alabama,Florence,21146.0,18958.0
Alabama,Hamilton,3351.0,3313.0
Alabama,Banks,76.0,81.0
Alabama,Wadley,407.0,402.0
Alabama,Wilton,455.0,351.0
Alabama,Lanett,3302.0,3016.0
Alabama,Tuscumbia,4486.0,3940.0
Alabama,Boligee,311.0,208.0
Alabama,Malvern,906.0,867.0
Alabama,Thorsby,1052.0,886.0
Alabama,Cardiff,18.0,25.0
Alabama,Mobile,100675.0,90810.0
Alabama,Argo,2088.0,2147.0
Alabama,Bessemer,14322.0,12437.0
Alabama,Napier Field,210.0,208.0
Alabama,Fairview,277.0,220.0
Alabama,Vredenburgh,257.0,106.0
Alabama,Scottsboro,7766.0,6761.0
Alabama,Eufaula,6420.0,5869.0
