State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More,Total
Pennsylvania,Cross Roads borough,503,2,0,3,0,3,489,0,6,503
Pennsylvania,Liberty borough (Tioga County),269,2,0,0,0,0,264,0,3,269
Pennsylvania,Riverside borough,2093,26,0,81,0,10,1849,5,127,2098
Pennsylvania,Valley View CDP (Schuylkill County),1562,0,0,0,0,0,1478,0,84,1562
Pennsylvania,Schuylkill Haven borough,5211,9,0,51,0,68,5004,0,104,5236
Pennsylvania,Ravine,625,0,0,0,0,5,620,0,0,625
Pennsylvania,Orwigsburg borough,2990,6,7,27,0,9,2935,0,12,2996
Pennsylvania,Ulysses borough,728,16,2,0,0,8,694,5,8,733
Pennsylvania,Cochranton borough,1189,5,5,19,2,17,1116,0,27,1191
Pennsylvania,West Conshohocken borough,1349,34,0,66,0,57,1163,3,26,1349
Pennsylvania,Conneautville borough,721,8,3,0,0,5,692,3,13,724
Pennsylvania,New Alexandria borough,603,0,0,0,0,0,594,0,9,603
Pennsylvania,Herminie,474,0,0,0,0,0,474,0,0,474
Pennsylvania,Monessen,7397,829,0,52,0,167,5854,42,478,7422
Pennsylvania,New Britain borough,2977,103,3,35,0,125,2693,0,43,3002
Pennsylvania,Troutville borough,244,0,0,0,0,0,244,0,0,244
Pennsylvania,Grampian borough,396,0,0,3,0,20,362,0,11,396
Pennsylvania,Irvona borough,627,0,0,0,0,10,617,3,7,637
Pennsylvania,Sankertown borough,637,0,1,2,0,3,624,1,9,640
Pennsylvania,Bristol borough,9614,1077,55,139,0,1572,6485,404,291,10023
Pennsylvania,Rainsburg borough,66,0,0,0,0,0,60,0,6,66
Pennsylvania,Bedford borough,2734,47,14,65,0,40,2560,34,8,2768
Pennsylvania,Hampton,667,17,0,0,0,118,531,0,35,701
Pennsylvania,Bendersville borough,802,42,0,0,0,149,599,136,15,941
Pennsylvania,Schellsburg borough,325,0,0,0,0,10,315,0,0,325
Pennsylvania,Carrolltown borough,857,0,0,0,0,0,851,0,6,857
Pennsylvania,Ashville borough,173,0,0,0,0,0,173,0,0,173
Pennsylvania,Renovo borough,1089,24,9,0,0,54,975,27,41,1130
Pennsylvania,Loganton borough,491,0,0,0,0,22,464,0,5,491
Pennsylvania,Paint borough,902,0,0,0,0,6,896,0,0,902
Pennsylvania,Meyersdale borough,1958,11,0,0,0,5,1933,0,9,1958
Pennsylvania,Iola,212,0,0,6,0,0,183,0,23,212
Pennsylvania,Aristes,337,0,0,0,0,0,337,0,0,337
Pennsylvania,Sylvania borough,222,1,1,0,0,0,219,0,1,222
Pennsylvania,Scottdale borough,4191,138,0,1,0,5,3992,0,55,4191
Pennsylvania,Slickville,233,0,0,0,0,0,233,0,0,233
Pennsylvania,Economy borough,9207,30,0,29,0,67,9081,48,0,9255
Pennsylvania,Industry borough,1759,19,0,8,0,24,1692,0,18,1761
Pennsylvania,Hallam borough,2660,225,0,0,17,280,2293,0,0,2815
Pennsylvania,Lykens borough,1673,4,0,3,0,39,1605,0,39,1690
Pennsylvania,Rupert,203,3,0,3,0,4,193,0,0,203
Pennsylvania,Millville borough,899,8,0,5,0,3,883,3,0,902
Pennsylvania,Lime Ridge,822,0,0,25,0,19,759,0,28,831
Pennsylvania,New Centerville borough,135,0,0,0,0,0,135,0,0,135
Pennsylvania,Jerome,757,0,0,0,0,0,741,0,16,757
Pennsylvania,Wilmerding borough,1949,514,0,0,0,45,1155,68,185,1967
Pennsylvania,Salisbury borough,808,0,0,0,0,0,808,0,0,808
Pennsylvania,Georgetown borough,138,0,0,0,0,0,138,0,0,138
Pennsylvania,East Rochester borough,491,11,17,0,0,5,456,2,3,494
Pennsylvania,South Waverly borough,1062,8,2,0,0,0,1049,0,3,1062
Pennsylvania,Ambridge borough,6787,1126,23,61,0,242,4998,140,420,7010
Pennsylvania,Enola,6574,623,0,49,0,152,5681,142,42,6689
Pennsylvania,Conway borough,2141,1,0,0,0,23,2087,10,22,2143
Pennsylvania,Camp Hill borough,7911,200,8,489,0,488,6622,226,122,8155
Pennsylvania,Sheakleyville borough,212,0,0,0,0,0,212,0,0,212
Pennsylvania,Fredonia borough,465,0,0,0,0,44,412,0,9,465
Pennsylvania,West Middletown borough,108,13,0,0,0,0,92,0,3,108
Pennsylvania,Marianna borough,483,19,2,0,0,0,431,0,31,483
Pennsylvania,Donora borough,4635,627,0,0,0,162,3587,18,275,4669
Pennsylvania,Baidland,1360,0,0,0,0,0,1340,0,20,1360
Pennsylvania,Kulpmont borough,2816,6,0,0,0,35,2777,0,0,2818
Pennsylvania,Green Hills borough,27,0,0,0,0,0,27,0,0,27
Pennsylvania,Newville borough,1276,18,0,5,0,25,1190,10,46,1294
Pennsylvania,Conneaut Lake borough,731,9,0,0,0,9,704,0,15,737
Pennsylvania,Rome borough,500,16,0,0,0,22,465,0,5,508
Pennsylvania,Saxton borough,729,0,0,0,0,16,667,4,46,733
Pennsylvania,Waynesburg borough,4057,98,0,47,0,93,3738,26,75,4077
Pennsylvania,Wilburton Number Two,81,0,6,0,0,3,72,0,0,81
Pennsylvania,Slabtown,115,0,0,0,0,0,115,0,0,115
Pennsylvania,Youngsville borough,1798,4,0,0,0,9,1760,1,28,1802
Pennsylvania,Freeport borough,1841,0,0,0,0,18,1795,11,35,1859
Pennsylvania,Jeddo borough,293,0,0,0,0,0,293,0,0,293
Pennsylvania,Shelocta borough,86,0,0,0,0,0,86,0,0,86
Pennsylvania,Marion Center borough,449,0,0,0,0,0,434,0,15,449
Pennsylvania,Homer City borough,1755,3,0,4,0,3,1708,0,37,1755
Pennsylvania,Port Royal borough,830,6,0,0,0,66,758,35,1,866
