State,City,Nursery-Pre-School,Kindergarten,1st-4th,5th-8th,9th-12th
California,Sand City,5,0,13,9,9
California,Atherton,278,56,386,406,404
California,Crest,26,0,58,173,77
California,San Diego Country Estates,134,138,598,632,673
California,Klamath,15,5,45,25,28
California,Crescent City,33,67,191,241,298
California,Bertsch-Oceanview,0,98,117,133,89
California,Oakhurst,97,74,350,76,68
California,Valley Ranch,0,0,0,0,0
California,Paxton,0,0,0,0,0
California,Hilmar-Irwin,10,58,309,314,397
California,Vine Hill,55,83,221,211,187
California,Richmond,1542,1460,5377,5294,5145
California,Byron,31,20,24,64,130
California,Rancho San Diego,267,181,610,1410,1126
California,Alamo,253,246,825,1040,1258
California,Ashland,299,455,1195,1321,1714
California,Beale AFB,31,31,60,123,26
California,Tustin,1383,808,3818,4719,4572
California,Rossmoor,189,163,644,681,786
California,Huntington Beach,2670,2126,8102,8962,9601
California,Dana Point,476,328,1141,1276,1593
California,Cypress,692,612,2028,2699,3339
California,Brea,805,425,2089,2107,2271
California,Fullerton,2433,1851,5725,6813,7549
California,Anaheim,4891,4469,18122,19813,20140
California,Diablo,0,0,0,0,0
California,Clearlake,163,273,1063,882,817
California,Los Banos,676,838,3239,2896,2622
California,China Lake Acres,0,24,289,73,133
California,Kennedy,66,123,278,338,289
California,Country Club,133,162,579,630,622
California,Susanville,135,92,397,566,1015
California,Cameron Park,279,198,866,1009,1244
California,Mariposa,9,13,0,52,21
California,Novato,853,1000,2218,2439,2549
California,Muir Beach,0,0,6,0,28
California,Madera,820,1214,4793,4684,5107
California,Lake Almanor Country Club,0,0,0,0,0
California,Almanor,0,0,0,0,0
California,Merced,1548,1290,5965,5211,5827
California,Wilkerson,9,0,24,42,20
California,Round Valley,0,0,0,3,24
California,Big Pine,4,17,110,64,25
California,Toro Canyon,8,0,141,51,51
California,Montecito,110,85,336,437,469
California,Bear Valley Springs,16,0,244,262,355
California,West Menlo Park,105,82,325,387,255
California,Palm Springs,307,520,951,1262,1695
California,La Quinta,362,458,2059,1789,2218
California,Lake Elsinore,1174,1470,4843,4053,4071
California,Reedley,441,353,1319,1904,1582
California,West Bishop,25,20,164,169,191
California,Half Moon Bay,170,208,310,646,714
California,Portola Valley,63,70,238,303,376
California,Meadow Valley,0,9,0,0,5
California,Walnut Creek,954,535,2588,2653,2461
California,Pittsburg,990,1322,4046,4057,3470
California,Mountain View,35,26,50,0,99
California,Martinez,467,314,1361,1862,2053
California,Lafayette,617,221,1549,1888,1800
California,San Bruno,635,412,1803,1920,1505
California,Redwood City,1755,1196,4046,4076,4133
California,East Palo Alto,612,717,1852,1536,2131
California,Livingston,273,266,1066,832,973
California,Twain,0,0,0,0,0
California,Tracy,1195,1476,5252,6508,7020
California,Storrie,0,0,0,0,0
California,Lake Almanor West,0,0,0,0,0
California,Point Reyes Station,0,0,0,0,0
California,Inverness,15,8,32,33,0
California,Santa Paula,435,443,1988,2036,1883
California,Port Hueneme,222,64,1411,772,1245
California,Ojai,188,38,462,333,321
California,Rollingwood,42,28,193,183,228
California,Pinole,216,237,840,784,777
California,Iron Horse,0,0,0,0,0
California,Chilcoot-Vinton,0,0,0,0,0
California,Portola,73,36,81,35,41
California,Middletown,0,20,0,89,95
California,Arcata,156,125,460,391,366
California,Humboldt Hill,106,17,211,237,247
California,Loma Mar,0,0,25,23,3
California,Loleta,24,0,81,3,26
California,Lodoga,0,0,0,0,0
California,Lockwood,0,0,44,56,28
California,Little River,0,0,3,0,0
California,Litchfield,0,0,19,16,7
California,Linnell Camp,30,0,0,65,96
California,Likely,0,0,0,0,0
California,Leona Valley,9,13,39,70,93
California,Lemon Hill,238,413,910,786,723
California,Lompico,0,10,11,68,62
California,Lindcove,0,5,14,37,10
California,Lee Vining,0,0,0,0,0
California,La Vina,0,0,34,0,0
California,Las Flores CDP (Tehama County),0,0,22,40,70
California,San Marcos,2550,1454,6030,5503,4966
California,Rancho Santa Fe,65,28,60,89,268
California,National City,1007,848,2461,3022,3504
California,Lakeside,301,220,937,1297,1276
California,Hacienda Heights,664,570,1998,2868,2696
California,East Pasadena,101,88,225,246,219
California,East Los Angeles,2016,2209,6879,7696,7682
California,Leggett,0,0,0,0,7
California,Desert View Highlands,46,46,227,181,189
California,Long Barn,0,0,0,0,0
California,Los Berros,54,0,0,0,68
California,Meadowbrook,0,0,221,155,116
California,Mayfair,96,65,302,302,434
California,Maxwell,27,15,87,86,8
California,Mather,32,55,313,226,239
California,Matheny,27,25,44,49,52
California,Martell,0,0,25,22,15
California,Marin City,9,31,187,283,115
California,March ARB,0,17,0,19,18
California,Manila,13,12,14,12,29
California,Manchester,5,0,17,13,17
California,Lookout,1,2,3,5,0
California,Mad River,20,0,14,24,2
California,McSwain,20,9,170,291,318
California,McGee Creek,0,0,0,0,0
California,McClenney Tract,0,0,0,0,0
California,McClellan Park,0,14,62,26,0
California,Mabie,0,0,0,0,0
California,Lytle Creek,0,0,0,34,17
California,Lucerne Valley,97,75,193,267,146
California,Los Ranchos,11,17,93,130,118
California,Los Osos,283,163,643,636,693
California,Los Olivos,6,0,33,49,37
California,Madison,0,39,0,65,54
California,Burbank,2035,1128,4073,3825,4765
California,Orange Cove,304,299,836,829,758
California,Kingsburg,112,241,1034,642,743
California,Oceanside,2899,1892,7805,8202,8783
California,Nipomo,197,124,753,1023,1065
California,Rio del Mar,86,25,405,550,442
California,Live Oak,348,242,902,714,780
California,Interlaken,43,52,586,478,370
California,West Sacramento,906,1065,2876,3040,3264
California,Fresno,8307,9345,32567,33247,31998
California,Coalinga,261,343,745,926,1190
California,Rodeo,179,220,590,427,509
California,Oakley,736,529,2474,2728,3158
California,Markleeville,0,0,0,8,11
California,Round Mountain,0,4,4,5,3
California,Tuolumne City,124,38,73,84,42
California,Hercules,320,290,1082,1508,1179
California,Jamestown,77,35,32,60,128
California,Columbia,0,41,33,78,159
California,Calistoga,72,60,156,303,296
California,Angwin,15,15,87,73,70
California,West Athens,44,143,313,289,509
California,View Park-Windsor Hills,255,58,318,370,584
California,Vernon,0,0,9,2,1
California,Temple City,620,445,1779,1586,1846
California,Millville,6,0,49,45,62
California,Morro Bay,110,86,330,523,264
California,Fort Jones,10,9,90,50,47
California,Grenada,19,10,28,0,10
California,Fowler,187,52,372,585,364
California,Del Rey,4,50,121,148,54
California,Piedmont,279,77,755,803,894
California,Oakland,6712,5001,17133,18107,17577
California,Atwater,615,543,1835,2027,2084
California,Ukiah,265,373,797,603,934
California,Covelo,44,5,34,68,29
California,Pleasanton,1506,1345,4090,5485,5594
California,Bethel Island,11,53,94,48,47
California,South Dos Palos,54,0,67,103,241
California,Quincy,0,0,67,14,256
California,Prattville,0,0,0,0,0
California,Plumas Eureka,0,0,0,2,0
California,Indian Falls,0,0,0,0,0
California,Graeagle,0,0,22,35,16
California,Cromberg,0,0,0,0,10
California,Tecopa,0,0,5,6,18
California,Pearsonville,0,0,0,0,0
California,Valley Acres,20,19,41,27,8
California,Shafter,251,259,1569,1434,1726
California,Pine Mountain Club,0,5,100,75,165
California,Lamont,188,293,1419,1178,987
California,Norwalk,1819,1399,4968,5365,6328
California,Meridian,5,0,22,19,29
California,Flournoy,0,0,12,12,5
California,Santee,1254,824,2478,2623,2975
California,Forest Ranch,0,0,10,44,21
California,Plymouth,0,19,94,52,60
California,Jackson,55,88,217,230,196
California,Pollock Pines,87,213,261,255,524
California,Placerville,203,106,704,414,608
California,Diamond Springs,191,97,430,535,620
California,Redding,1301,1275,4640,4166,4603
California,Anderson,231,209,508,562,461
California,Greenhorn,0,0,26,12,0
California,East Shore,0,0,0,0,22
California,C-Road,0,0,0,0,0
California,Clio,0,0,0,0,0
California,Sutter Creek,6,51,105,118,88
California,Amador City,2,0,20,0,6
California,San Ramon,1905,1099,5085,5802,5470
California,Pacheco,15,32,116,58,153
California,Discovery Bay,280,321,735,1129,977
California,Danville,731,575,2455,3192,2928
California,Concord,2161,1793,6080,5403,5769
California,Clayton,300,17,489,748,853
California,Cherryland,235,447,932,876,702
California,North El Monte,39,82,215,406,155
California,Bishop,75,67,257,0,231
California,Darwin,0,0,0,0,0
California,Lone Pine,69,57,103,49,92
California,Mesa,0,0,3,11,16
California,Selma,449,409,1654,1984,1392
California,Riverdale,15,27,305,284,141
California,Caruthers,40,54,92,142,263
California,Union City,810,741,3006,2889,3196
California,Sunol,10,9,21,38,48
California,Friant,0,0,76,39,0
California,Desert Hot Springs,601,702,1974,1883,1634
California,Weaverville,68,73,168,177,174
California,Pine Hills,72,40,320,65,156
California,Myrtletown,0,35,280,248,272
California,Whittier,1294,1094,4157,4675,4790
California,Cobb,0,25,28,25,24
California,Big Bend,3,3,5,3,3
California,Taft Mosswood,5,20,15,37,57
California,Ripon,249,240,925,1192,818
California,Manteca,1235,1229,4528,4238,4714
California,Whitehawk,0,0,0,0,0
California,Spring Garden,0,0,0,0,0
California,Lake Davis,0,0,0,0,0
California,Hamilton Branch,16,20,14,38,9
California,Chester,6,24,101,87,16
California,Caribou,0,0,0,0,0
California,Palo Cedro,9,18,53,76,120
California,Westmorland,122,76,238,231,170
California,Rolling Hills,16,4,76,143,98
California,Solana Beach,266,130,575,496,602
California,Signal Hill,229,127,431,563,463
California,Pico Rivera,777,671,2655,3078,3338
California,Montebello,891,846,2791,3210,3511
California,Mayflower Village,51,62,227,224,310
California,Culver City,488,505,1432,1833,1402
California,Las Lomas,78,25,295,265,435
California,Santa Clarita,3802,2989,11518,12956,13132
California,Taft,50,68,584,438,713
California,San Pablo,342,396,1805,1835,1807
California,Port Costa,0,0,0,0,0
California,South Whittier,763,812,2716,3489,3562
California,Yosemite Valley,0,20,0,0,13
California,La Selva Beach,90,16,82,142,149
California,Lake Sherwood,10,9,36,123,159
California,Lake Riverside,0,0,97,49,60
California,Lake Mathews,39,7,323,677,564
California,Lake Hughes,0,11,0,20,20
California,Lakehead,4,16,37,34,22
California,Lake Don Pedro,0,0,68,0,52
California,Lake City,0,0,0,0,0
California,Lake California,115,65,138,121,99
California,La Honda,0,0,24,14,7
California,Las Flores CDP (Orange County),147,45,320,500,368
California,Davis,871,611,2389,2230,2815
California,Walnut Park,236,259,802,863,884
California,Willow Creek,24,67,174,0,12
California,Fort Bragg,164,47,471,328,380
California,Duarte,319,175,864,993,1193
California,Eldridge,0,23,147,31,101
California,Mendocino,0,0,0,15,0
California,Agoura Hills,468,169,797,1011,1608
California,Los Molinos,0,38,224,43,104
California,La Presa,621,442,1876,2056,2126
California,Poplar-Cotton Center,0,0,78,140,168
California,Lemoore,402,502,1618,1473,1764
California,Santa Ana,5228,5287,20725,20261,21674
California,Westlake Village,218,114,331,357,546
California,Lake Forest,1672,953,3614,4125,4277
California,Mountain View,1489,1038,3788,3020,2805
California,West Point,0,18,40,0,36
California,El Dorado Hills,861,682,2725,3157,3134
California,Niland,0,0,0,53,67
California,Bombay Beach,0,0,0,0,25
California,Westhaven-Moonstone,34,17,71,35,11
California,Trinidad,1,2,5,10,8
California,Fortuna,191,112,642,624,796
California,Upper Lake,35,0,108,45,18
California,Nice,13,15,103,104,126
California,Bonsall,53,7,139,143,334
California,Esparto,128,74,298,126,238
California,Aptos Hills-Larkin Valley,0,0,30,122,100
California,Ben Lomond,77,47,150,345,273
California,Tipton,40,36,277,339,340
California,San Juan Capistrano,851,646,1834,1842,1888
California,Ivanhoe,23,9,323,284,336
California,East Porterville,85,131,602,544,576
California,Waterford,53,197,657,634,674
California,Bystrom,27,65,430,370,356
California,Perris,848,1347,5192,5911,6296
California,Indian Wells,7,29,72,85,27
California,Hemet,935,970,5052,5631,5443
California,Mission Canyon,35,28,77,95,89
California,Woodville,11,27,138,123,160
California,Los Alamos,14,0,137,119,166
California,Morongo Valley,39,29,54,151,174
California,Joshua Tree,50,63,341,84,162
California,Yucca Valley,140,261,1170,1056,1501
California,Highland,703,973,3914,3392,3994
California,Westwood,20,0,70,39,65
California,Alturas,53,48,102,82,72
California,McArthur,20,0,0,0,0
California,Burney,14,136,214,277,152
California,Soulsbyville,35,0,213,148,107
California,Windsor,358,500,1453,1764,1890
California,Ontario,2221,2606,10103,10348,11675
California,Sonoma,76,114,277,533,544
California,Rancho Santa Margarita,1066,549,2649,2891,3227
California,Big Bear Lake,47,84,187,322,263
California,Thousand Oaks,2353,1465,5812,7064,7608
California,Olancha,0,0,0,3,0
California,Independence,1,2,7,23,7
California,Ione,12,80,52,126,595
California,Bonadelle Ranchos-Madera Ranchos,25,121,481,710,659
California,Seeley,34,18,97,81,152
California,Palo Verde,0,0,0,0,0
California,Calipatria,142,91,244,251,602
California,Palm Desert,514,483,1478,1803,1753
California,Exeter,106,210,743,700,605
California,Olivehurst,248,422,760,552,877
California,Ducor,6,16,72,37,56
California,Auburn,202,122,666,500,635
California,Boulder Creek,118,19,193,151,147
California,Aptos,63,20,83,234,376
California,South San Gabriel,146,52,262,287,454
California,Rosemead,893,743,1982,2463,2582
California,Willows,42,56,398,330,324
California,Wilton,49,105,224,323,317
California,Gold River,53,74,242,344,429
California,Citrus Heights,1105,953,3490,4163,4105
California,Arden-Arcade,1609,1289,4557,5113,4628
California,Dollar Point,8,0,18,0,17
California,Ladera Ranch,1039,890,2636,2666,1777
California,Monte Rio,0,9,79,48,7
California,Hanford,833,1000,3639,3357,3274
California,Alameda,1433,1121,3469,3470,3213
California,San Gabriel,439,577,1382,1381,2007
California,Sierra Madre,257,207,382,586,310
California,Santa Fe Springs,263,206,736,864,794
California,San Marino,369,189,585,719,918
California,Redondo Beach,1839,1065,3172,2863,3104
California,Quartz Hill,139,122,490,643,642
California,Palmdale,2363,3030,10106,10848,12166
California,Monrovia,719,652,1531,2057,1749
California,Maywood,587,466,1980,1729,1689
California,Albany,425,336,1095,1326,1148
California,Manhattan Beach,1009,392,1959,2123,2368
California,Downey,1340,1299,5765,6535,7536
California,Del Aire,87,180,633,743,466
California,Covina,676,500,2289,2439,3053
California,Bell Gardens,698,775,2999,2773,3391
California,Tranquillity,0,0,89,138,63
California,Mendota,218,216,890,848,780
California,Beverly Hills,391,278,1726,1729,1969
California,Laton,4,70,152,193,213
California,Lanare,0,0,0,14,50
California,Capitola,93,129,544,324,460
California,Glendale,2818,1990,7272,7917,8032
California,San Juan Bautista,40,33,121,102,129
California,Lynwood,1146,1183,3904,4486,5278
California,San Lorenzo,317,326,1008,1131,1422
California,Dos Palos,63,180,367,420,430
California,Delhi,146,210,610,1004,1054
California,Lake Los Angeles,105,164,884,813,848
California,Huntington Park,1151,1138,3498,3744,4112
California,Glendora,976,682,2546,2703,2871
California,El Monte,1401,1563,5802,6419,7353
California,Claremont,524,311,946,1711,1836
California,Altadena,904,513,1733,1904,2322
California,Alondra Park,165,168,405,375,615
California,Orange,2339,1435,6344,6615,7713
California,Fairview,101,131,381,417,466
California,Costa Mesa,1509,1120,4761,5377,5309
California,Dublin,1350,1075,3678,3553,2630
California,Placentia,741,698,2355,2973,3163
California,Laguna Beach,306,213,549,948,1209
California,Richgrove,64,61,193,125,147
California,Stanton,414,621,1963,2255,2667
California,Rolling Hills Estates,142,114,435,509,486
California,Palos Verdes Estates,327,250,571,673,1051
California,Los Angeles,62644,50395,177274,179528,195115
California,Oakdale,463,146,1566,1396,1380
California,Denair,100,0,364,444,322
California,Emeryville,116,47,225,141,120
California,Knights Landing,9,0,21,41,74
California,Kingvale,0,0,0,8,0
California,Keswick,10,0,18,22,27
California,Delano,831,696,2860,2865,3977
California,Bodfish,0,0,29,74,33
California,Corte Madera,277,217,532,730,495
California,Bolinas,27,25,21,0,9
California,Ocotillo,0,0,0,0,7
California,Desert Shores,0,0,13,27,13
California,Calexico,984,498,2122,2892,3358
California,Thousand Palms,0,95,583,258,199
California,Murrieta,1399,1753,7132,7444,8711
California,Indio,934,985,4841,4890,4855
California,Channel Islands Beach,12,0,154,175,105
California,Romoland,64,21,101,124,182
California,Truckee,194,257,932,791,934
California,Lake of the Pines,40,7,92,235,364
California,North Lakeport,39,24,124,162,128
California,Lucerne,117,63,94,49,215
California,Imperial,310,432,931,1067,1373
California,Holtville,72,98,469,686,461
California,El Centro,1024,774,3015,2881,3086
California,Brawley,499,577,2078,1843,1641
California,Home Gardens,124,228,640,597,747
California,Calimesa,54,101,513,387,340
California,Dillon Beach,24,0,18,9,0
California,Banning,312,436,1375,1532,1830
California,Torrance,3021,1951,6285,6145,7133
California,La Mirada,608,517,2011,1829,2155
California,Coulterville,0,0,0,0,0
California,Avila Beach,14,0,12,0,12
California,Jurupa Valley,1417,1746,6652,6205,6559
California,East Whittier,176,136,428,338,559
California,Vincent,366,190,941,932,1120
California,Temescal Valley,438,357,1743,1553,1811
California,Pleasure Point,82,67,150,172,337
California,Whitewater,0,12,38,111,133
California,Eastvale,1313,1241,4158,3928,4401
California,Contra Costa Centre,55,48,155,51,28
California,Valinda,538,352,1184,1187,1371
California,Kennedy Meadows,0,0,0,0,0
California,June Lake,0,0,41,81,0
California,Junction City,0,3,15,8,24
California,Johnstonville,15,23,67,58,148
California,Jenner,0,0,0,0,0
California,Janesville,8,10,61,46,71
California,San Dimas,583,309,1510,1567,1825
California,Marina del Rey,121,0,45,0,212
California,Littlerock,71,0,139,126,141
California,Lawndale,646,371,1817,1749,1850
California,La Verne,448,388,1479,1468,1713
California,Kelly Ridge,44,30,56,69,55
California,University of California-Davis,0,21,23,0,4
California,Jacumba,0,0,0,0,19
California,Indianola,17,0,41,14,10
California,Graniteville,0,0,0,0,0
California,Grangeville,0,20,43,67,56
California,Goodyears Bar,0,0,0,0,0
California,Good Hope,208,135,720,713,593
California,Gold Mountain,0,0,0,0,0
California,Geyserville,12,17,43,28,14
California,Gerber,20,6,104,13,88
California,Gasquet,0,0,43,26,27
California,Garnet,82,108,469,380,300
California,Garey,1,0,3,1,0
California,Greeley Hill,0,0,0,9,7
California,Garden Farms,17,12,0,0,19
California,Fulton,25,6,92,96,9
California,Fuller Acres,12,13,38,65,102
California,Fruitridge Pocket,79,69,376,521,390
California,French Valley,504,825,2527,3034,2394
California,Freeport,0,0,0,0,0
California,Franklin CDP (Sacramento County),0,0,0,0,11
California,Franklin CDP (Merced County),179,86,619,727,348
California,Fort Washington,83,0,157,104,25
California,Fort Irwin,190,165,636,741,284
California,Fort Bidwell,5,2,18,2,18
California,Garberville,34,1,109,38,97
California,Indio Hills,0,0,43,0,96
California,Green Acres,110,37,76,190,181
California,Green Valley CDP (Los Angeles County),15,15,60,16,32
California,Idlewild,0,0,0,0,0
California,Hyampom,0,0,0,0,0
California,Hornitos,0,0,0,0,0
California,Hopland,54,26,106,29,7
California,Hood,0,9,32,7,10
California,Honcut,0,0,0,0,0
California,Homewood Canyon,0,0,0,0,0
California,Homestead Valley,0,16,35,39,124
California,Herlong,0,2,22,30,100
California,Herald,0,10,31,31,89
California,Greenfield,33,21,137,194,455
California,Hat Creek,0,0,0,0,0
California,Hasley Canyon,37,20,36,43,55
California,Hartley,21,0,86,147,174
California,Hartland,0,0,0,0,0
California,Hardwick,0,0,0,0,0
California,Happy Camp,14,28,0,10,18
California,Guinda,0,0,32,32,0
California,Groveland,0,0,0,0,0
California,Grizzly Flats,0,0,0,159,67
California,Grimes,8,16,16,77,0
California,Green Valley CDP (Solano County),0,19,45,25,0
California,Hiouchi,0,0,0,0,51
California,Forbestown,0,0,0,0,0
California,University of California-Merced,0,0,0,0,0
California,Fort Dick,0,0,0,0,9
California,Lompoc,713,493,2849,2488,2752
California,Twentynine Palms,410,344,1772,1020,655
California,San Antonio Heights,50,11,104,59,108
California,Mountain View Acres,70,38,223,437,522
California,Montclair,427,815,2047,2323,2778
California,Lenwood,53,134,342,389,359
California,Arbuckle,86,62,207,209,252
California,Tulare,1025,1281,4738,4220,4624
California,Terra Bella,19,8,202,338,309
California,Pixley,32,36,316,406,457
California,Solvang,52,58,349,227,340
California,Lindsay,178,215,1035,1079,876
California,Earlimart,58,267,543,837,692
California,Watsonville,670,1045,3590,3406,3343
California,Valley Springs,0,0,104,128,181
California,Avery,0,21,0,24,8
California,Walnut Grove,26,31,37,66,87
California,Sacramento,7065,7379,25788,25419,24728
California,Folsom,1369,888,4221,4598,4666
California,American Canyon,373,234,968,1471,1294
California,Woodlake,211,106,598,545,643
California,Traver,19,6,50,80,59
California,East Orosi,0,54,99,69,52
California,Lemon Cove,0,6,5,0,9
California,Vandenberg Village,66,48,442,448,427
California,North Highlands,826,754,3409,3026,2890
California,Ladera,43,0,192,40,105
California,Kenwood,0,0,0,0,0
California,La Cañada Flintridge,558,241,962,1266,1591
California,Malaga,67,48,72,72,61
California,Angels,24,16,89,166,174
California,Orosi,114,185,563,709,374
California,North Tustin,451,175,1080,1252,1434
California,Wildomar,341,420,2058,1940,2646
California,Menifee,1275,1257,4430,4627,5784
California,Rancho Cordova,1024,1104,4182,3829,3430
California,Foothill Farms,450,404,1866,1794,2003
California,Moraga,292,237,853,1039,1004
California,Goleta,532,307,1504,1362,1472
California,Elk Grove,2630,2279,9822,10578,11464
California,Aliso Viejo,877,700,2681,2840,2686
California,East Oakdale,68,9,136,168,183
California,Soquel,175,147,536,470,595
California,Rancho Palos Verdes,538,542,1910,2446,3015
California,Malibu,202,53,394,593,591
California,Lakewood,1131,607,3381,4001,4548
California,La Habra Heights,9,12,146,219,424
California,La Crescenta-Montrose,150,296,932,1079,1409
California,Yountville,16,0,19,73,40
California,Fairhaven,4,0,3,0,18
California,Dinuba,459,290,1757,1883,1933
California,Three Rivers,14,23,83,71,98
California,Bonita,142,93,796,695,507
California,Santa Clara,2412,1287,5345,5109,4334
California,San Francisco,12589,7060,22734,22906,23249
California,San Martin,50,179,392,389,299
California,San Jose,17402,12914,49559,52718,53169
California,Raisin City,17,3,28,25,46
California,Kerman,240,201,1157,1190,1218
California,Easton,36,73,163,171,99
California,Newark,551,612,1993,2421,2267
California,Los Alamitos,197,174,693,599,539
California,Harbison Canyon,72,95,150,150,253
California,Irvine,5409,3299,12291,13324,13107
California,Avenal,105,229,908,794,1463
California,Fountain Valley,699,616,2372,2560,3183
California,Temelec,0,0,0,0,0
California,Santa Rosa,2692,2740,8595,9083,8954
California,Boyes Hot Springs,249,171,357,693,499
California,Bodega Bay,0,0,0,0,0
California,Westside,0,4,8,14,9
California,Pala,32,29,98,84,65
California,Little Valley,0,0,0,0,0
California,Hoopa,126,56,215,234,194
California,Kettleman City,0,21,73,180,153
California,West Modesto,174,72,451,328,379
California,Julian,0,0,6,8,15
California,Ramona,231,250,1120,1048,804
California,Empire,50,54,231,269,114
California,Day Valley,0,0,60,218,188
California,Loomis,80,119,425,310,337
California,Granite Bay,405,272,1246,1197,1583
California,Del Rio,55,0,96,35,53
California,Foresthill,95,82,26,17,60
California,Keyes,116,117,488,456,549
California,Grayson,18,10,95,122,148
California,Rocklin,1007,744,3484,4203,4577
California,Bermuda Dunes,64,172,274,417,348
California,Pine Valley,46,19,96,80,74
California,Beaumont,613,613,2906,3427,2903
California,Hayfork,0,16,79,58,67
California,Bootjack,0,0,16,37,79
California,Stinson Beach,0,0,0,7,13
California,Sausalito,21,28,134,156,67
California,Santa Venetia,175,71,130,59,186
California,San Rafael,1034,439,3137,2944,2904
California,Kentfield,125,137,340,516,496
California,El Verano,48,32,74,46,35
California,Winter Gardens,381,369,1060,1188,1417
California,Vista,1383,1369,5668,5310,5638
California,Lewiston,6,14,16,21,74
California,Simi Valley,2334,1305,4880,7172,7379
California,Greenacres,26,43,474,320,278
California,Casa Conejo,84,23,184,225,167
California,Blue Lake,11,14,12,26,12
California,Hydesville,17,0,41,43,27
California,Piru,27,10,154,143,145
California,Oak View,89,30,204,189,257
California,Meiners Oaks,12,15,120,179,195
California,Weldon,19,0,12,39,0
California,Tupman,0,9,9,14,5
California,Ridgecrest,782,612,1814,2044,1467
California,Maricopa,0,7,122,67,55
California,Fellows,0,0,3,6,5
California,North Edwards,34,11,32,67,59
California,East Sonora,0,21,31,37,4
California,Cutten,83,0,138,99,193
California,Rail Road Flat,0,0,0,0,14
California,Parkwood,54,0,177,243,145
California,Madera Acres,191,115,605,623,644
California,Keddie,0,0,0,0,0
California,Johnsville,0,0,0,0,0
California,East Quincy,44,0,124,174,133
California,Mono Vista,25,148,144,43,115
California,Upland,1425,1064,3841,3836,3713
California,Rancho Cucamonga,2757,1983,8662,9675,10405
California,Fontana,2667,2901,13193,14747,15456
California,Chino Hills,1612,877,4210,4176,4630
California,Big Bear City,149,257,662,477,698
California,Hamilton City,47,20,245,115,142
California,Mokelumne Hill,0,0,0,0,0
California,Rosemont,184,294,1090,970,1517
California,Ferndale,19,16,70,102,53
California,Clyde,0,0,17,23,13
California,St. Helena,43,72,274,214,217
California,Napa,1180,780,3815,4389,4592
California,Murphys,0,0,38,62,50
California,Copperopolis,76,9,282,67,110
California,West Whittier-Los Nietos,418,292,1038,1273,1573
California,West Carson,306,316,663,643,891
California,Walnut,426,304,1220,1240,1443
California,Val Verde,63,30,187,152,208
California,South San Jose Hills,159,234,977,1081,1336
California,Pomona,2759,2181,7749,8529,9962
California,Pasadena,2970,1817,4941,4895,5444
California,Long Beach,7928,6154,21754,22730,24038
California,Antioch,1271,1622,5809,6544,7499
California,Lomita,221,289,858,762,947
California,El Segundo,280,352,868,765,862
California,Rancho Murieta,39,38,266,296,325
California,Lakeport,23,49,147,165,338
California,Stockton,4711,5311,18931,19467,19130
California,Morada,0,0,251,430,324
California,Lockeford,43,70,151,262,192
California,South Lake Tahoe,210,203,705,743,718
California,Shingle Springs,61,31,96,110,105
California,Lake Isabella,0,17,63,187,160
California,Orinda,398,282,826,1259,1447
California,Knightsen,0,7,97,100,79
California,Kensington,48,37,196,268,269
California,Irwindale,19,28,71,88,95
California,Mission Hills,28,32,159,248,364
California,Isla Vista,88,63,113,108,80
California,Yucaipa,838,786,2816,2745,2511
California,Washington,0,0,0,0,0
California,Warner Valley,0,0,0,0,0
California,Warm Springs,22,62,125,98,115
California,Walker,0,28,41,41,0
California,Volta,0,0,0,19,0
California,Volcano,0,0,0,0,0
California,Vista Santa Rosa,5,23,193,303,185
California,Vina,0,8,0,0,0
California,Victor,0,0,61,115,24
California,Verdi,0,0,0,0,14
California,Valley Wells,0,0,0,0,0
California,Valley Home,0,0,5,0,10
California,Waterloo,0,0,0,55,88
California,Valley Ford,41,0,0,0,29
California,Tuttle,0,0,0,0,0
California,Trowbridge,0,13,14,0,13
California,Trona,0,0,0,15,0
California,Trinity Village,0,5,0,5,0
California,Trinity Center,0,5,0,0,0
California,Tres Pinos,0,8,45,50,31
California,Topaz,0,54,0,53,54
California,Topanga,123,122,299,280,418
California,Tooleville,0,0,0,34,33
California,Tonyville,13,0,0,31,0
California,Timber Cove,0,0,0,0,0
California,Three Rocks,0,0,0,0,23
California,Tuttletown,8,0,42,30,45
California,Waukena,0,6,8,10,38
California,Wawona,0,0,12,20,0
California,West Rancho Dominguez,320,293,1338,1118,1371
California,Lake Arrowhead,26,64,439,553,711
California,Hesperia,975,1470,6402,6747,7572
California,Grand Terrace,218,34,676,544,709
California,Crestline,63,49,446,575,370
California,Mountain Ranch,0,0,16,0,13
California,Shasta Lake,126,147,623,435,423
California,Montgomery Creek,0,0,0,0,7
California,Clear Creek,0,0,56,38,0
California,Clay,0,4,15,97,72
California,Clarksburg,0,0,0,85,9
California,Cherokee Strip,0,10,11,0,9
California,Cherokee,0,0,0,0,0
California,Chalfant,0,32,32,0,56
California,Centerville,0,0,0,14,34
California,Cedarville,5,2,18,20,45
California,Cedar Slope,0,0,0,0,0
California,Zayante,29,0,60,98,27
California,Yolo,0,0,37,38,33
California,Yettem,0,0,65,42,58
California,Yankee Hill,8,0,0,0,0
California,Woodlands,0,0,0,20,94
California,Woodbridge,64,21,101,176,257
California,Wilsonia,0,0,0,0,0
California,Whitley Gardens,0,0,17,0,0
California,West Park,24,34,60,41,28
