State,City,Nursery-Pre-School,Kindergarten,1st-4th,5th-8th,9th-12th
Alabama,Elba,36,31,179,132,115
Alabama,Columbia,4,9,11,30,14
Alabama,Grand Bay,45,0,310,356,270
Alabama,McDonald Chapel,0,19,22,19,11
Alabama,Sipsey,5,2,13,45,30
Alabama,Pelham,400,189,1311,1199,1468
Alabama,Edgewater,0,62,13,34,28
Alabama,Vance,35,32,120,74,99
Alabama,Nectar,0,16,20,18,9
Alabama,Alexander City,239,208,926,617,814
Alabama,Taylor,12,48,144,120,95
Alabama,Webb,14,10,93,67,87
Alabama,Bayou La Batre,55,55,150,125,112
Alabama,Mooresville,0,0,6,3,4
Alabama,Tillmans Corner,284,303,1161,1062,569
Alabama,Carbon Hill,4,15,95,81,47
Alabama,Tuscaloosa,1301,981,3777,4220,3467
Alabama,Oneonta,38,0,372,428,333
Alabama,Susan Moore,0,8,19,22,39
Alabama,Fulton,0,3,0,0,15
Alabama,Gaylesville,0,1,16,4,4
Alabama,Glenwood,0,0,7,14,4
Alabama,Marion,0,0,67,70,281
Alabama,Langston,0,0,2,1,2
Alabama,Hazel Green,42,36,111,151,245
Alabama,Madison,717,622,2430,3106,3355
Alabama,Edwardsville,0,9,20,17,4
Alabama,Lake View,33,22,90,241,215
Alabama,Snead,10,10,26,20,27
Alabama,Robertsdale,85,139,429,413,321
Alabama,Garden City,5,0,37,9,22
Alabama,Georgiana,39,18,47,73,94
Alabama,Ider,0,2,16,32,45
Alabama,Pine Ridge,2,4,7,5,3
Alabama,Sand Rock,4,2,31,12,8
Alabama,Valley Head,8,5,50,19,89
Alabama,Waterloo,0,0,13,21,6
Alabama,Eva,7,4,28,42,35
Alabama,Falkville,3,11,58,74,63
Alabama,Priceville,100,85,212,160,151
Alabama,Fyffe,11,29,83,79,81
Alabama,Childersburg,15,65,233,285,369
Alabama,Avon,6,5,16,13,34
Alabama,West End-Cobb Town,16,0,194,102,78
Alabama,Kinston,0,0,35,72,22
Alabama,Rehobeth,25,52,117,172,112
Alabama,Ardmore,22,5,83,42,38
Alabama,Athens,213,261,1196,1090,1232
Alabama,Citronelle,52,66,184,241,37
Alabama,Dauphin Island,0,12,43,35,32
Alabama,Attalla,88,99,551,312,228
Alabama,Fort Payne,71,276,865,659,790
Alabama,Mentone,0,0,9,8,6
Alabama,Steele,17,7,66,57,62
Alabama,Homewood,513,213,1494,1059,1532
Alabama,Irondale,67,80,908,812,818
Alabama,Wilsonville,17,31,117,72,99
Alabama,Sardis City,13,24,82,74,90
Alabama,White Hall,19,2,53,56,37
Alabama,Mulga,11,9,41,46,22
Alabama,Monroeville,112,24,224,230,218
Alabama,Minor,0,25,34,97,59
Alabama,Tarrant,89,120,420,335,203
Alabama,Florence,347,420,2014,1339,1262
Alabama,Hamilton,88,39,323,159,290
Alabama,Banks,7,0,11,8,15
Alabama,Wadley,0,3,27,34,63
Alabama,Wilton,4,3,33,60,51
Alabama,Lanett,68,24,265,255,288
Alabama,Tuscumbia,96,78,466,524,468
Alabama,Boligee,8,22,61,26,30
Alabama,Malvern,0,41,81,78,103
Alabama,Thorsby,4,23,111,136,133
Alabama,Cardiff,0,2,5,0,0
Alabama,Mobile,3610,1962,9047,8527,10433
Alabama,Argo,81,142,52,310,106
Alabama,Bessemer,327,365,1319,1125,1641
Alabama,Napier Field,2,9,23,19,14
Alabama,Fairview,11,11,15,21,43
Alabama,Vredenburgh,0,0,24,10,23
Alabama,Scottsboro,148,247,749,617,616
Alabama,Eufaula,120,181,595,755,895
Alabama,Warrior,34,0,132,94,137
Alabama,Double Springs,0,10,137,65,76
Alabama,Natural Bridge,0,0,0,0,0
Alabama,Selmont-West Selmont,0,60,108,97,300
Alabama,North Courtland,0,11,13,56,67
Alabama,Margaret,70,75,473,355,465
Alabama,Killen,9,9,85,57,76
Alabama,McIntosh,0,37,11,50,18
Alabama,Muscle Shoals,219,158,679,720,576
Alabama,Forkland,26,20,52,37,52
Alabama,Albertville,301,413,1638,1371,1260
Alabama,Hartford,18,34,68,132,176
Alabama,Gilbertown,0,0,13,22,9
Alabama,Lisman,1,22,37,15,29
Alabama,Daleville,82,45,260,158,247
Alabama,Fairfield,219,159,350,452,508
Alabama,Douglas,15,6,61,69,109
Alabama,Town Creek,15,5,105,70,33
Alabama,Leeds,276,196,777,671,659
Alabama,Lipscomb,15,57,112,108,113
Alabama,Sumiton,32,75,171,144,113
Alabama,West Jefferson,10,0,38,17,34
Alabama,Needham,0,1,4,2,8
Alabama,Silas,2,0,54,48,42
Alabama,Jacksonville,141,24,487,407,395
Alabama,Weaver,52,77,152,262,96
Alabama,Gordon,0,0,8,8,5
Alabama,Faunsdale,0,0,0,0,3
Alabama,Ariton,0,9,59,38,60
Alabama,Clayhatchee,13,0,41,19,33
Alabama,Level Plains,26,4,158,231,193
Alabama,Newbern,0,0,14,22,8
Alabama,Phil Campbell,0,11,123,127,102
Alabama,Blue Ridge,40,6,75,89,131
Alabama,Millbrook,239,192,807,1160,858
Alabama,Prattville,313,730,2110,1795,1989
Alabama,Wetumpka,167,81,334,379,381
Alabama,Rockford,12,15,42,37,20
Alabama,Concord,11,10,85,70,229
Alabama,Adamsville,117,43,236,250,247
Alabama,Parrish,16,0,78,60,64
Alabama,Flomaton,2,28,82,167,99
Alabama,Five Points,0,0,12,14,15
Alabama,Oxford,255,240,1425,1292,1298
Alabama,Cowarts,21,43,129,116,143
Alabama,Prichard,483,574,1368,1041,1153
Alabama,Satsuma,68,98,308,351,185
Alabama,Maytown,0,3,23,16,20
Alabama,Morris,12,32,77,75,91
Alabama,Pleasant Grove,94,70,405,921,530
Alabama,Glencoe,85,18,113,394,116
Alabama,Hokes Bluff,69,0,197,245,160
Alabama,Gordonville,4,0,18,3,12
Alabama,Lockhart,0,5,17,9,7
Alabama,Autaugaville,0,9,12,19,45
Alabama,Arab,111,84,402,460,512
Alabama,Pell City,121,174,525,573,734
Alabama,Rogersville,14,12,61,57,88
Alabama,Sheffield,57,74,520,478,260
Alabama,Brilliant,11,17,81,36,56
Alabama,Brewton,162,31,300,231,226
Alabama,Harvest,30,131,188,433,293
Alabama,Eclectic,12,16,50,81,139
Alabama,Owens Cross Roads,43,26,61,63,95
Alabama,Brookwood,22,42,87,147,149
Alabama,Walnut Grove,3,12,25,47,96
Alabama,Dothan,950,1015,3782,3513,3446
Alabama,Kinsey,21,41,119,196,174
Alabama,Theodore,32,153,398,279,255
Alabama,Eldridge,4,1,16,1,7
Alabama,Jasper,206,229,776,692,602
Alabama,Kansas,2,3,7,8,7
Alabama,Fultondale,229,34,399,340,402
Alabama,Foley,285,102,381,963,784
Alabama,Underwood-Petersville,24,67,117,119,283
Alabama,Guin,26,58,81,107,159
Alabama,Daphne,530,177,1723,1450,1278
Alabama,Silverhill,7,13,18,17,22
Alabama,Leesburg,3,4,37,71,47
Alabama,Rainsville,53,80,307,280,201
Alabama,Piedmont,69,68,281,211,261
Alabama,Huntsville,2586,2439,9013,8915,8263
Alabama,Castleberry,0,0,5,15,23
Alabama,Abbeville,21,0,56,148,111
Alabama,Greenville,41,111,488,325,426
Alabama,Evergreen,28,84,412,136,234
Alabama,East Brewton,28,49,192,209,171
Alabama,Hurtsboro,2,2,24,35,7
Alabama,Haleburg,0,0,4,4,6
Alabama,Newville,2,0,33,7,18
Alabama,Louisville,5,7,18,28,17
Alabama,Orrville,0,0,2,2,10
Alabama,Cuba,2,9,10,13,25
Alabama,Gainesville,8,2,2,17,20
Alabama,Libertyville,0,0,8,10,0
Alabama,Alabaster,543,443,2110,2042,1853
Alabama,Harpersville,9,17,92,100,73
Alabama,Gantt,0,0,0,0,2
Alabama,Glen Allen,3,0,13,19,25
Alabama,Franklin,0,0,5,7,6
Alabama,Blue Springs,0,0,3,3,2
Alabama,Hobson City,0,33,28,36,58
Alabama,Cottonwood,9,13,102,63,38
Alabama,Chickasaw,87,121,562,307,328
Alabama,Saraland,209,126,932,914,867
Alabama,Cordova,4,31,79,99,62
Alabama,New Market,0,36,121,76,0
Alabama,Repton,0,10,16,6,17
Alabama,New Hope,18,17,224,182,128
Alabama,Gurley,10,12,66,27,21
Alabama,Auburn,920,693,2117,2687,2787
Alabama,Opelika,317,359,1199,1836,1271
Alabama,Leighton,4,40,50,45,130
Alabama,Fort Rucker,125,118,318,338,207
Alabama,Midland City,35,40,158,144,177
Alabama,Black,6,2,4,2,4
Alabama,Geneva,18,14,364,152,108
Alabama,Jacksons' Gap,19,18,40,9,21
Alabama,Maplesville,2,12,34,86,78
Alabama,Odenville,158,67,197,187,194
Alabama,Brundidge,21,23,121,63,125
Alabama,Roanoke,0,176,146,199,336
Alabama,Rock Mills,0,17,0,42,16
Alabama,Russellville,128,216,573,546,709
Alabama,Vina,6,3,11,22,16
Alabama,Providence,0,0,0,0,6
Alabama,Grant,10,14,37,52,35
Alabama,Daviston,1,2,8,5,13
Alabama,Clanton,164,79,440,375,497
Alabama,Moores Mill,96,88,448,307,465
Alabama,Excel,0,28,80,67,55
Alabama,Pine Hill,7,10,36,47,32
Alabama,Spruce Pine,0,0,0,0,0
Alabama,Woodstock,4,33,98,66,141
