None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
657,1916,2180,1084,419,0.0,327,0,0,0,17.962,45.51,957,149,534,50.456,4507,1529,88,358,4,885,6099,382,120,33137,1.473,9097,229,34,399,3.737,402,0.506
1618,3547,5030,2241,1075,0.0,39,0,0,0,25.076,34.886,2378,325,2053,54.748,8063,2805,53,65,0,1129,13581,221,107,22914,2.834,17818,285,102,381,5.405,784,0.269
331,777,581,133,70,0.0,0,0,0,0,21.671,40.804,371,87,161,51.074,1253,184,13,1,0,144,2140,113,79,17493,2.304,2561,26,58,81,4.178,159,0.234
637,3411,5754,4878,2457,0.0,405,0,0,0,22.081,41.118,2692,234,1086,52.005,12172,3787,0,406,0,885,19709,284,705,32841,2.322,25361,530,177,1723,5.717,1278,0.142
143,240,284,82,51,0.0,0,0,0,0,13.095,52.289,98,10,59,46.245,587,0,0,0,0,5,1078,0,9,23726,5.037,1092,3,4,37,6.502,47,0.366
519,1257,1034,279,148,0.0,25,0,0,0,16.835,42.55,510,103,417,54.01,2139,465,25,25,0,231,3777,11,128,20760,3.354,4651,69,68,281,4.537,261,0.495
387,694,527,96,185,0.0,0,0,0,0,27.885,35.438,239,72,286,49.148,1313,1025,0,0,0,124,1433,9,0,21343,2.13,2582,21,0,56,5.732,111,0.697
965,1896,1183,655,366,0.0,200,0,0,0,29.518,27.573,848,215,478,52.567,3659,4353,0,205,0,28,2987,0,169,19795,3.474,7714,41,111,488,4.213,426,1.413
2221,4730,7026,4801,2748,0.0,387,34,0,0,19.807,46.228,2222,402,1246,50.617,16236,4762,113,417,6,3111,23466,2503,909,34525,2.068,32878,543,443,2110,6.211,1853,0.28
222,442,279,84,31,0.0,0,0,0,0,16.268,44.422,153,60,92,53.054,707,339,0,0,0,3,1135,0,29,25034,4.05,1506,9,17,92,6.64,73,0.465
205,389,259,50,12,0.0,0,0,0,0,18.513,32.378,172,24,133,52.44,614,327,11,0,0,14,922,0,17,15268,5.112,1291,9,13,102,4.88,38,0.155
1407,3536,2733,1077,563,0.0,62,0,0,0,22.042,40.945,1332,291,748,54.71,6462,1804,199,94,11,158,11498,176,435,29219,3.252,14268,209,126,932,6.406,867,0.357
299,676,651,276,52,0.0,6,0,0,0,16.947,42.437,416,52,105,51.296,1391,12,46,6,8,5,2722,5,57,24614,2.836,2856,18,17,224,6.373,128,0.49
1692,3718,7743,9348,7850,0.0,4702,344,0,0,46.992,30.597,3281,442,1018,50.562,31144,10737,56,5382,0,2720,43668,229,675,19262,2.356,62996,920,693,2117,4.265,2787,0.381
